,Province/State,Country/Region,Lat,Long,Date,Confirmed,Recovered,Death
0,Anhui,Mainland China,31.82571,117.2264,1/21/20 22:00,0.0,0.0,0.0
1,Beijing,Mainland China,40.18238,116.4142,1/21/20 22:00,10.0,0.0,0.0
2,Chongqing,Mainland China,30.05718,107.874,1/21/20 22:00,5.0,0.0,0.0
3,Fujian,Mainland China,26.07783,117.9895,1/21/20 22:00,0.0,0.0,0.0
4,Gansu,Mainland China,36.0611,103.8343,1/21/20 22:00,0.0,0.0,0.0
5,Guangdong,Mainland China,23.33841,113.422,1/21/20 22:00,17.0,0.0,0.0
6,Guangxi,Mainland China,23.82908,108.7881,1/21/20 22:00,0.0,0.0,0.0
7,Guizhou,Mainland China,26.81536,106.8748,1/21/20 22:00,0.0,0.0,0.0
8,Hainan,Mainland China,19.19673,109.7455,1/21/20 22:00,0.0,0.0,0.0
9,Hebei,Mainland China,38.0428,114.5149,1/21/20 22:00,0.0,0.0,0.0
10,Heilongjiang,Mainland China,47.862,127.7622,1/21/20 22:00,0.0,0.0,0.0
11,Henan,Mainland China,33.882020000000004,113.614,1/21/20 22:00,0.0,0.0,0.0
12,Hubei,Mainland China,30.97564,112.2707,1/21/20 22:00,270.0,25.0,0.0
13,Hunan,Mainland China,27.61041,111.7088,1/21/20 22:00,1.0,0.0,0.0
14,Inner Mongolia,Mainland China,44.09448,113.9456,1/21/20 22:00,0.0,0.0,0.0
15,Jiangsu,Mainland China,32.97027,119.464,1/21/20 22:00,0.0,0.0,0.0
16,Jiangxi,Mainland China,27.61401,115.7221,1/21/20 22:00,2.0,0.0,0.0
17,Jilin,Mainland China,43.66657,126.1917,1/21/20 22:00,0.0,0.0,0.0
18,Liaoning,Mainland China,41.292840000000005,122.6086,1/21/20 22:00,0.0,0.0,0.0
19,Ningxia,Mainland China,37.26923,106.1655,1/21/20 22:00,0.0,0.0,0.0
20,Qinghai,Mainland China,35.65945,96.02564,1/21/20 22:00,0.0,0.0,0.0
21,Shaanxi,Mainland China,35.19165,108.8701,1/21/20 22:00,0.0,0.0,0.0
22,Shandong,Mainland China,36.34377,118.1529,1/21/20 22:00,1.0,0.0,0.0
23,Shanghai,Mainland China,31.20327,121.4554,1/21/20 22:00,9.0,0.0,0.0
24,Shanxi,Mainland China,37.57769,112.2922,1/21/20 22:00,0.0,0.0,0.0
25,Sichuan,Mainland China,30.617140000000003,102.7103,1/21/20 22:00,2.0,0.0,0.0
26,Tianjin,Mainland China,39.29362,117.333,1/21/20 22:00,2.0,0.0,0.0
27,Tibet,Mainland China,30.1534,88.7879,1/21/20 22:00,0.0,0.0,0.0
28,Xinjiang,Mainland China,41.11981,85.17822,1/21/20 22:00,0.0,0.0,0.0
29,Yunnan,Mainland China,24.97411,101.4868,1/21/20 22:00,1.0,0.0,0.0
30,Zhejiang,Mainland China,29.18251,120.0985,1/21/20 22:00,5.0,0.0,0.0
31,0,Thailand,13.7563,100.5018,1/21/20 22:00,2.0,0.0,0.0
32,0,Japan,35.6762,139.6503,1/21/20 22:00,1.0,0.0,0.0
33,0,South Korea,37.5665,126.978,1/21/20 22:00,0.0,0.0,0.0
34,Taiwan,Taiwan,23.6978,120.9605,1/21/20 22:00,1.0,0.0,0.0
35,"Seattle, WA",US,47.7511,-120.74,1/21/20 22:00,1.0,0.0,0.0
36,"Chicago, IL",US,40.6331,-89.3985,1/21/20 22:00,0.0,0.0,0.0
37,"Tempe, AZ",US,34.0489,-111.094,1/21/20 22:00,0.0,0.0,0.0
38,Macau,Macau,22.1987,113.5439,1/21/20 22:00,0.0,0.0,0.0
39,Hong Kong,Hong Kong,22.3193,114.1694,1/21/20 22:00,0.0,0.0,0.0
40,0,Singapore,1.3521,103.8198,1/21/20 22:00,0.0,0.0,0.0
41,0,Vietnam,21.0278,105.8342,1/21/20 22:00,0.0,0.0,0.0
42,0,France,46.2276,2.2137,1/21/20 22:00,0.0,0.0,0.0
43,0,Nepal,28.3949,84.124,1/21/20 22:00,0.0,0.0,0.0
44,0,Malaysia,4.2105,101.9758,1/21/20 22:00,0.0,0.0,0.0
45,"Toronto, ON",Canada,43.6532,-79.3832,1/21/20 22:00,0.0,0.0,0.0
46,British Columbia,Canada,49.2827,-123.121,1/21/20 22:00,0.0,0.0,0.0
47,"Orange, CA",US,33.7879,-117.8531,1/21/20 22:00,0.0,0.0,0.0
48,"Los Angeles, CA",US,34.0522,-118.2437,1/21/20 22:00,0.0,0.0,0.0
49,New South Wales,Australia,-33.8688,151.2093,1/21/20 22:00,0.0,0.0,0.0
50,Victoria,Australia,-37.8136,144.9631,1/21/20 22:00,0.0,0.0,0.0
51,Queensland,Australia,-27.4698,153.0251,1/21/20 22:00,0.0,0.0,0.0
